episode,height,reward,steps,success,epsilon,actions_forward,actions_backward,actions_left,actions_right
324,51.75327907056351,-3.1624510063652513,72,False,0.7231330071735643,2,1,1,2
325,61.53398379430833,-3.4923562875851637,94,False,0.7224098741663908,3,4,5,10
326,77.58593937267477,-3.289535250362059,86,False,0.7216874642922244,1,2,0,1
327,50.82211884083487,-2.8401153999090045,64,False,0.7209657768279322,0,0,0,0
328,61.208038023418,-2.9407996762014594,71,False,0.7202448110511043,0,0,0,0
329,56.65242487844094,-2.986352365340393,72,False,0.7195245662400531,1,1,0,1
330,54.78421299036353,-3.305519989737461,70,False,0.7188050416738131,0,0,2,0
331,72.7461304123838,-3.477739044279814,100,False,0.7180862366321393,5,4,4,8
332,72.8094479565552,-3.1265456282632322,80,False,0.7173681503955072,0,1,0,0
333,79.17228971332884,-3.3139560262923142,94,False,0.7166507822451117,1,6,0,4
334,56.3789795508458,-3.2219144130322173,71,False,0.7159341314628666,0,0,1,1
335,53.632927891523416,12.01449127328791,69,True,0.7152181973314037,0,0,2,0
336,72.42715031340911,-3.6587679974615375,107,False,0.7145029791340722,9,4,7,8
337,67.03634367834603,-2.821299497802481,81,False,0.7137884761549381,1,5,0,0
338,58.35290456024201,-3.3565192510353077,71,False,0.7130746876787832,0,1,0,0
339,76.66531513787214,-3.1629108782314157,81,False,0.7123616129911045,0,0,0,0
340,63.11171319946712,13.746479799278877,86,True,0.7116492513781133,4,5,1,3
341,51.52599556283236,-3.2964671979722677,67,False,0.7109376021267352,0,1,0,0
342,62.66274279902387,-2.9581448460733517,77,False,0.7102266645246085,1,0,1,2
343,58.77072681355807,-3.0910334117524014,70,False,0.7095164378600839,0,0,0,0
